dataset,model,acc,auroc,brier,ece
hotpot-vanilla-eval-em,SMCR-math-Qwen2_5-3B-Instruct-std,0.464,0.6496859720792588,0.3399489044100001,0.31960590000000005
hotpot-vanilla-eval-em,SMCR-math-Qwen2_5-7B-Instruct,0.418,0.6264777454413917,0.4281758,0.42962
math-500,Qwen2.5-3B-Instruct,0.516,0.5463034146966493,0.47235620070861684,0.4747645238095237
math-500,Qwen2.5-7B-Instruct,0.6,0.5058666666666667,0.39886,0.399
math-500,RLCR-hotpot-Qwen2_5-3B-Instruct-std,0.546,0.5894127898533185,0.38857222216453524,0.3857481714285715
math-500,RLCR-math-Qwen2_5-3B-Instruct,0.522,0.7670049215280784,0.19610244999999998,0.09436999999999988
math-500,RLCR-math-Qwen2_5-3B-Instruct-std,0.514,0.7959039887271622,0.21341509150617285,0.19889244444444437
math-500,SMCR-hotpot-Qwen2_5-3B-Instruct,0.502,0.7249475991615866,0.23630725200987654,0.15086284444444448
math-500,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier,0.484,0.6933820231917484,0.22944844660987654,0.0940892444444445
math-500,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier-std,0.444,0.7600946270011018,0.23760510078,0.20704820000000007
math-500,SMCR-hotpot-Qwen2_5-3B-Instruct-scale-weight,0.506,0.7405066329551455,0.20852358592,0.07151279999999997
math-500,SMCR-hotpot-Qwen2_5-3B-Instruct-std,0.57,0.6819012647898817,0.2812932083499569,0.24075501538461536
math-500,SMCR-math-Qwen2_5-3B-Instruct,0.504,0.815420186891961,0.20513799472630012,0.20548563896103889
math-500,SMCR-math-Qwen2_5-3B-Instruct-std,0.476,0.784230867919687,0.23900901144000003,0.23111280000000006
math-500,SMCR-math-Qwen2_5-7B-Instruct,0.574,0.7558031113510331,0.213697,0.20809999999999998
simpleqa,Qwen2.5-3B-Instruct,0.09292649098474341,0.5910629066695068,0.7050829172445677,0.7265580212667592
simpleqa,Qwen2.5-7B-Instruct,0.1183541377716135,0.6089064343536968,0.7079160887656034,0.7672676837725382
simpleqa,RLCR-hotpot-Qwen2_5-3B-Instruct-std,0.042764678687008784,0.8467245801706077,0.09193014840499307,0.09087563569116967
simpleqa,RLCR-math-Qwen2_5-3B-Instruct,0.09315765141007859,0.6013555610514818,0.2592255432269995,0.3597156726768377
simpleqa,RLCR-math-Qwen2_5-3B-Instruct-std,0.07975034674063801,0.673908674901434,0.17057714547696126,0.17756819209431346
simpleqa,SMCR-hotpot-Qwen2_5-3B-Instruct,0.11049468331021729,0.5975029684496213,0.24309119278779479,0.3268955154877485
simpleqa,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier,0.08622283865002311,0.6866478711997336,0.12693770226537215,0.1621937124364309
simpleqa,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier-std,0.03582986592695331,0.8674016442254894,0.04283049052242256,0.03910957004160888
simpleqa,SMCR-hotpot-Qwen2_5-3B-Instruct-scale-weight,0.1010171058714748,0.642793468404989,0.1510916551086454,0.19076514100785943
simpleqa,SMCR-hotpot-Qwen2_5-3B-Instruct-std,0.09986130374479889,0.5949537750385208,0.2757406907096625,0.2750882801664355
simpleqa,SMCR-math-Qwen2_5-3B-Instruct,0.07350901525658807,0.5485079369562761,0.141347717953685,0.14797048837913288
simpleqa,SMCR-math-Qwen2_5-3B-Instruct-std,0.09500693481276005,0.5727671038770964,0.18488599410540915,0.20030379103097548
simpleqa,SMCR-math-Qwen2_5-7B-Instruct,0.10679611650485436,0.5713120557841055,0.5217418862713824,0.5203559639389735
trivia,Qwen2.5-3B-Instruct,0.482,0.5813689541645973,0.46800755,0.473095
trivia,Qwen2.5-7B-Instruct,0.5805,0.576300279546115,0.40117125,0.40572499999999995
trivia,RLCR-hotpot-Qwen2_5-3B-Instruct-std,0.483,0.7384256200167393,0.267132833,0.23964199999999997
trivia,RLCR-math-Qwen2_5-3B-Instruct,0.5075,0.6589027531194519,0.23260749999999997,0.09764000000000006
trivia,RLCR-math-Qwen2_5-3B-Instruct-std,0.49,0.7740511204481793,0.22641524344444597,0.17453666516666672
trivia,SMCR-hotpot-Qwen2_5-3B-Instruct,0.5025,0.717470436760919,0.23443,0.14059999999999995
trivia,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier,0.466,0.7544651468389836,0.20033624999999997,0.024274999999999988
trivia,SMCR-hotpot-Qwen2_5-3B-Instruct-only-brier-std,0.45,0.8410535353535353,0.18677485000000002,0.14221500000000006
trivia,SMCR-hotpot-Qwen2_5-3B-Instruct-scale-weight,0.5155,0.7379341547226884,0.20769125000000002,0.02737499999999997
trivia,SMCR-hotpot-Qwen2_5-3B-Instruct-std,0.5035,0.7004658228253184,0.289524452005,0.2555589500000001
trivia,SMCR-math-Qwen2_5-3B-Instruct,0.472,0.7217965539933232,0.27422350243865085,0.2596451501983907
trivia,SMCR-math-Qwen2_5-3B-Instruct-std,0.4955,0.7219209755990236,0.27242365288500003,0.23755615
trivia,SMCR-math-Qwen2_5-7B-Instruct,0.516,0.6529886603882376,0.33926475,0.336225
